time;V(Net-_R7-Pad2_);V(Net-_U1-+_);
0.0140816;0.0210844;0.0126571;
0.0140916;0.0229955;0.0126859;
0.0141016;0.0248323;0.0127089;
0.0141116;0.0265873;0.0127256;
0.0141216;0.0282538;0.0127356;
0.0141316;0.0298251;0.0127383;
0.0141416;0.0312951;0.0127333;
0.0141516;0.0326579;0.0127203;
0.0141616;0.0339081;0.0126988;
0.0141716;0.0350409;0.0126685;
0.0141816;0.0360517;0.0126291;
0.0141916;0.0369366;0.0125804;
0.0142016;0.037692;0.0125221;
0.0142116;0.0383151;0.012454;
0.0142216;0.0388032;0.012376;
0.0142316;0.0391546;0.0122878;
0.0142416;0.0393678;0.0121895;
0.0142516;0.0394419;0.012081;
0.0142616;0.0393768;0.0119622;
0.0142716;0.0391726;0.0118333;
0.0142816;0.0388301;0.0116942;
0.0142916;0.0383507;0.0115452;
0.0143016;0.0377363;0.0113862;
0.0143116;0.0369893;0.0112176;
0.0143216;0.0361127;0.0110395;
0.0143316;0.0351099;0.0108521;
0.0143416;0.0339849;0.0106559;
0.0143516;0.0327421;0.0104511;
0.0143616;0.0313864;0.010238;
0.0143716;0.0299232;0.0100171;
0.0143816;0.0283582;0.00978878;
0.0143916;0.0266977;0.00955347;
0.0144016;0.0249482;0.00931165;
0.0144116;0.0231165;0.00906383;
0.0144216;0.0212099;0.00881052;
0.0144316;0.019236;0.00855226;
0.0144416;0.0172025;0.00828962;
0.0144516;0.0151174;0.00802317;
0.0144616;0.012989;0.0077535;
0.0144716;0.0108257;0.00748121;
0.0144816;0.00863606;0.00720692;
0.0144916;0.00642864;0.00693123;
0.0145016;0.00421218;0.00665478;
0.0145116;0.00199545;0.00637819;
0.0145216;-0.000212828;0.00610208;
0.0145316;-0.00240392;0.00582708;
0.0145416;-0.00456919;0.00555379;
0.0145516;-0.00670008;0.00528283;
0.0145616;-0.00878819;0.0050148;
0.0145716;-0.0108253;0.00475027;
0.0145816;-0.0128033;0.00448983;
0.0145916;-0.0147145;0.00423403;
0.0146016;-0.0165512;0.00398339;
0.0146116;-0.0183063;0.00373845;
0.0146216;-0.0199728;0.00349967;
0.0146316;-0.0215441;0.00326754;
0.0146416;-0.0230141;0.00304249;
0.0146516;-0.0243769;0.00282493;
0.0146616;-0.0256272;0.00261524;
0.0146716;-0.0267599;0.00241377;
0.0146816;-0.0277708;0.00222083;
0.0146916;-0.0286557;0.0020367;
0.0147016;-0.0294111;0.00186163;
0.0147116;-0.0300342;0.00169582;
0.0147216;-0.0305223;0.00153946;
0.0147316;-0.0308737;0.00139267;
0.0147416;-0.0310869;0.00125555;
0.0147516;-0.0311611;0.00112815;
0.0147616;-0.0310959;0.00101049;
0.0147716;-0.0308917;0.000902561;
0.0147816;-0.0305493;0.000804291;
0.0147916;-0.0300699;0.000715585;
0.0148016;-0.0294555;0.000636306;
0.0148116;-0.0287086;0.000566281;
0.0148216;-0.027832;0.000505299;
0.0148316;-0.0268292;0.000453112;
0.0148416;-0.0257042;0.000409439;
0.0148516;-0.0244614;0.000373963;
0.0148616;-0.0231057;0.000346336;
0.0148716;-0.0216425;0.000326177;
0.0148816;-0.0200776;0.000313077;
0.0148916;-0.0184171;0.000306599;
0.0149016;-0.0166675;0.000306278;
0.0149116;-0.0148359;0.000311625;
0.0149216;-0.0129293;0.000322129;
0.0149316;-0.0109554;0.000337258;
0.0149416;-0.0089219;0.000356463;
0.0149516;-0.00683686;0.000379177;
0.0149616;-0.00470849;0.000404819;
0.0149716;-0.00254521;0.000432798;
0.0149816;-0.000355543;0.000462512;
0.0149916;0.00185187;0.000493353;
0.0150016;0.00406831;0.000524708;
0.0150116;0.00628503;0.000555963;
0.0150216;0.00849329;0.000586504;
0.0150316;0.0106844;0.000615718;
0.0150416;0.0128496;0.000643;
0.0150516;0.0149805;0.000667751;
0.0150616;0.0170686;0.000689382;
0.0150716;0.0191057;0.000707319;
0.0150816;0.0210837;0.000720998;
0.0150916;0.0229948;0.000729877;
0.0151016;0.0248316;0.000733429;
0.0151116;0.0265866;0.000731151;
0.0151216;0.0282531;0.000722561;
0.0151316;0.0298244;0.000707205;
0.0151416;0.0312944;0.000684652;
0.0151516;0.0326572;0.000654504;
0.0151616;0.0339074;0.000616389;
0.0151716;0.0350402;0.00056997;
0.0151816;0.036051;0.000514942;
0.0151916;0.0369359;0.000451034;
0.0152016;0.0376913;0.000378011;
0.0152116;0.0383144;0.000295673;
0.0152216;0.0388025;0.000203858;
0.0152316;0.0391539;0.000102444;
0.0152416;0.0393671;-8.65728e-06;
0.0152516;0.0394412;-0.000129492;
0.0152616;0.0393761;-0.000260067;
0.0152716;0.0391718;-0.000400354;
0.0152816;0.0388294;-0.000550282;
0.0152916;0.03835;-0.000709743;
0.0153016;0.0377356;-0.000878591;
