time;V(Net-_R1-Pad1_);V(Net-_R2-Pad2_);
0.0062073;0.48211;-9.52139;
0.0062083;0.482934;-9.53945;
0.0062093;0.483738;-9.55714;
0.0062103;0.484523;-9.57445;
0.0062113;0.485289;-9.59138;
0.0062123;0.486036;-9.60793;
0.0062133;0.486764;-9.6241;
0.0062143;0.487472;-9.63988;
0.0062153;0.488161;-9.65529;
0.0062163;0.488831;-9.67031;
0.0062173;0.489482;-9.68496;
0.0062183;0.490113;-9.69921;
0.0062193;0.490725;-9.71309;
0.0062203;0.491318;-9.72658;
0.0062213;0.491891;-9.73968;
0.0062223;0.492445;-9.7524;
0.0062233;0.492979;-9.76473;
0.0062243;0.493494;-9.77667;
0.0062253;0.493989;-9.78823;
0.0062263;0.494465;-9.7994;
0.0062273;0.494922;-9.81019;
0.0062283;0.495359;-9.82058;
0.0062293;0.495776;-9.83058;
0.0062303;0.496174;-9.8402;
0.0062313;0.496552;-9.84943;
0.0062323;0.49691;-9.85826;
0.0062333;0.497249;-9.86671;
0.0062343;0.497568;-9.87476;
0.0062353;0.497868;-9.88243;
0.0062363;0.498148;-9.8897;
0.0062373;0.498408;-9.89658;
0.0062383;0.498649;-9.90307;
0.0062393;0.49887;-9.90916;
0.0062403;0.499071;-9.91487;
0.0062413;0.499253;-9.92018;
0.0062423;0.499415;-9.92509;
0.0062433;0.499557;-9.92962;
0.0062443;0.499679;-9.93375;
0.0062453;0.499782;-9.93749;
0.0062463;0.499865;-9.94083;
0.0062473;0.499928;-9.94378;
0.0062483;0.499971;-9.94634;
0.0062493;0.499995;-9.9485;
0.0062503;0.499999;-9.95027;
0.0062513;0.499983;-9.95164;
0.0062523;0.499948;-9.95262;
0.0062533;0.499893;-9.9532;
0.0062543;0.499818;-9.95339;
0.0062553;0.499723;-9.95319;
0.0062563;0.499609;-9.95259;
0.0062573;0.499475;-9.95159;
0.0062583;0.499321;-9.95021;
0.0062593;0.499147;-9.94842;
0.0062603;0.498954;-9.94625;
0.0062613;0.498741;-9.94368;
0.0062623;0.498508;-9.94071;
0.0062633;0.498256;-9.93735;
0.0062643;0.497984;-9.9336;
0.0062653;0.497692;-9.92945;
0.0062663;0.497381;-9.92491;
0.0062673;0.49705;-9.91997;
0.0062683;0.496699;-9.91465;
0.0062693;0.496329;-9.90892;
0.0062703;0.495939;-9.90281;
0.0062713;0.49553;-9.8963;
0.0062723;0.495101;-9.8894;
0.0062733;0.494653;-9.88211;
0.0062743;0.494185;-9.87443;
0.0062753;0.493697;-9.86635;
0.0062763;0.49319;-9.85789;
0.0062773;0.492664;-9.84903;
0.0062783;0.492118;-9.83978;
0.0062793;0.491553;-9.83014;
0.0062803;0.490968;-9.82011;
0.0062813;0.490364;-9.8097;
0.0062823;0.48974;-9.79889;
0.0062833;0.489097;-9.78769;
0.0062843;0.488435;-9.77611;
0.0062853;0.487754;-9.76414;
0.0062863;0.487053;-9.75178;
0.0062873;0.486333;-9.73903;
0.0062883;0.485594;-9.7259;
0.0062893;0.484836;-9.71238;
0.0062903;0.484059;-9.69847;
0.0062913;0.483262;-9.68418;
0.0062923;0.482446;-9.66951;
0.0062933;0.481612;-9.65445;
0.0062943;0.480758;-9.63901;
0.0062953;0.479886;-9.62319;
0.0062963;0.478994;-9.60698;
0.0062973;0.478083;-9.5904;
0.0062983;0.477154;-9.57343;
0.0062993;0.476206;-9.55608;
0.0063003;0.475239;-9.53835;
0.0063013;0.474253;-9.52025;
0.0063023;0.473249;-9.50176;
0.0063033;0.472226;-9.4829;
0.0063043;0.471184;-9.46367;
0.0063053;0.470123;-9.44405;
0.0063063;0.469044;-9.42406;
0.0063073;0.467947;-9.4037;
0.0063083;0.466831;-9.38297;
0.0063093;0.465696;-9.36186;
0.0063103;0.464544;-9.34038;
0.0063113;0.463373;-9.31853;
0.0063123;0.462183;-9.29631;
0.0063133;0.460976;-9.27371;
0.0063143;0.45975;-9.25076;
0.0063153;0.458506;-9.22743;
0.0063163;0.457244;-9.20374;
0.0063173;0.455963;-9.17968;
0.0063183;0.454665;-9.15526;
0.0063193;0.453349;-9.13047;
0.0063203;0.452015;-9.10532;
0.0063213;0.450663;-9.07981;
0.0063223;0.449294;-9.05394;
0.0063233;0.447906;-9.02771;
0.0063243;0.446501;-9.00112;
0.0063253;0.445079;-8.97417;
0.0063263;0.443638;-8.94686;
0.0063273;0.442181;-8.91921;
0.0063283;0.440705;-8.89119;
0.0063293;0.439213;-8.86282;
0.0063303;0.437703;-8.8341;
0.0063313;0.436176;-8.80503;
0.0063323;0.434631;-8.77561;
0.0063333;0.433069;-8.74585;
0.0063343;0.431491;-8.71573;
0.0063353;0.429895;-8.68527;
0.0063363;0.428282;-8.65446;
0.0063373;0.426653;-8.62331;
0.0063383;0.425006;-8.59181;
